Nama Produk,Jumlah Produk,Harga Jual,Rating Produk,Nama Akun,Rating Pengguna,Ulasan Produk
MAKE OVER Powerstay Transferproof Matte Lip Cream 7 g - Lip Cream - B03 Hype,Terjual 10 rb+,Rp114.750,4.9,Novia,bintang 5,Aku dapet cushion! Makasih loh yaa belum aku cek si shade nya but thankyouu💕
MAKE OVER Powerstay Transferproof Matte Lip Cream 7 g - Lip Cream - B03 Hype,Terjual 10 rb+,Rp114.750,4.9,S***e,bintang 5,"Teksturnya ringan & agak cair, warnanya cantik & pigmented, mudah diaplikasikan & transferproof ❤️❤️❤️👍"
MAKE OVER Powerstay Transferproof Matte Lip Cream 7 g - Lip Cream - B03 Hype,Terjual 10 rb+,Rp114.750,4.9,Asih,bintang 5,"warna soft merah, bagus"
MAKE OVER Powerstay Transferproof Matte Lip Cream 7 g - Lip Cream - B03 Hype,Terjual 10 rb+,Rp114.750,4.9,Hifdi,bintang 5,👍👍👍
MAKE OVER Powerstay Transferproof Matte Lip Cream 7 g - Lip Cream - B03 Hype,Terjual 10 rb+,Rp114.750,4.9,d***a,bintang 5,"warna nya aku suka banget, transferproof juga."
MAKE OVER Powerstay Transferproof Matte Lip Cream 7 g - Lip Cream - B03 Hype,Terjual 10 rb+,Rp114.750,4.9,Fulatul,bintang 5,barang sesuai
MAKE OVER Powerstay Transferproof Matte Lip Cream 7 g - Lip Cream - B03 Hype,Terjual 10 rb+,Rp114.750,4.9,N***a,bintang 4,"lipsticknya ok, sayangnya warna lebih gelap dari persepsi ketika melihat gambar contoh, jd seperti warna merah maroon"
MAKE OVER Powerstay Transferproof Matte Lip Cream 7 g - Lip Cream - B03 Hype,Terjual 10 rb+,Rp114.750,4.9,Kenzie,bintang 5,cukup tahan lama
MAKE OVER Powerstay Transferproof Matte Lip Cream 7 g - Lip Cream - B03 Hype,Terjual 10 rb+,Rp114.750,4.9,Lora,bintang 5,"Tektur pekat, ga terasa kering di bibir tapi kerutan bibir jadi semakin kentara. Daya tahan sungguh mantap, di swatch di tangan dari jam 8 malam, bahkan setelah mandi warna masih bertahan hingga sore hari. Warnanya agak misleading antara gambar dan aslinya. Di bibirku yg cenderung hitam warnanya jadi merah kecoklatan ga bisa nudw seperti di gambar bibir contohnya. Transferproof terbukti"
MAKE OVER Powerstay Transferproof Matte Lip Cream 7 g - Lip Cream - B03 Hype,Terjual 10 rb+,Rp114.750,4.9,T***k,bintang 3,T***k
MAKE OVER Powerstay Transferproof Matte Lip Cream 7 g - Lip Cream - B03 Hype,Terjual 10 rb+,Rp114.750,4.9,Dwi,bintang 5,Dwi
MAKE OVER Powerstay Transferproof Matte Lip Cream 7 g - Lip Cream - B03 Hype,Terjual 10 rb+,Rp114.750,4.9,Ayu,bintang 5,juooosss
MAKE OVER Powerstay Transferproof Matte Lip Cream 7 g - Lip Cream - B03 Hype,Terjual 10 rb+,Rp114.750,4.9,Auliana,bintang 5,"Warnanya oke banget, pengirimannya cepet, gak sampai 100 dapet makeover secantik ini woi gilak. Cinta bgt sama warna new rules!!"
MAKE OVER Powerstay Transferproof Matte Lip Cream 7 g - Lip Cream - B03 Hype,Terjual 10 rb+,Rp114.750,4.9,Iie,bintang 5,pelayanan memuaskan ... kualitas mantab
