Nama Akun,Ulasan
R***l,terimakasih barang sesuai pesanan
Lina,"lembab, ga kering, tahan lama."
Marta,"nggak bikin kering bibir, warnanya lumayan, agak oily jd transfer ya, sprtinya kurang tahan lama, sesuai harga"
Ivon,lipstik make over color hypnoes emg suka dari dulu. ini udah pembelian ke sekian kalinya. teksturnya ringan dan lembab di bibir
Mico,mabtabssss
Debora,"Keren, sekali oles makjreng warnanya. Sayangnya nyandet di pengiriman. Ganti ekspedisi. Jd agak kecewa sm pemilihan kurir by marketplace"
Romandhon,Bagus sayang lipstik patas saat pertama dibuka
Nana,bagus sesuai deskripsi.
e***a,"suka sama containernya yg magnetic dan premium. texture Lipsticknya juga light, jd dipakainya nyaman ♡"
sri,sri
K***i,sesuai deskripsi
omahSemarang,"warnanya bagus, kondisi bagus"
V***i,"warna nya suka, beli lipstik dan bedak dapet hadiah hydrastay liter glow cushion, terimakasih make over"
E***a,Terima kasih barangnya sudah sampai
T***a,"teksturnya ringan banget, warnanya juga cakeppp"
A***a,okokokokokokokokokokokokokokokokokokokokokokokokokokokokokokokokokokokokokokokok
Anisa,warnanya lama2 jd agak ada efek pinknya juga
D***a,"warnanya bagus, sy suka, ringan dibibir, pengiriman cepat...expired 2027. mks seller dan tokopedia"
Ratna,lipstik patah
E***a,Cakeppp…ga kering di bibir. Warnanya love banget
Wahyu,Baru kali ini pakai produk dari Make Over...biasanya make up yg dari New York itu...warna cantik & packaging eksklusif...belum saya coba kw bibir saya sih jd blm tau hasilnya.
V***a,warnanya syukaaa trmksh.
I***h,pucat warnanya tak sesuai dg photo
wiwin,"beneran creamy, enak banget di bibir... bakalan pesen warna lain ini... tks seller. packing rapi dan aman. pesanan juga cepat sekali sampai"
e***y,paket sudah D terima dengan baik bagus warnanya sukak banget amd cocok untuk kulit sawo matang melembabkan bibir gak bikin kering hanya saja pengiriman agak lama dan lewat dr tgl yang sudah D jadwalkan
T***n,barang yang dikirim sesuai pesanan dan pengemasan aman sekali
titalara,bagus banget warna yaa
Silvie,ringan banget bagus.. pengen koleksi warna nude apa ada ya kak
miko,yg penting istri seneng...
K***o,"sesuai pesanan, seri warna 11 adore,cocok untuk istri,kemasan sangat baiik"
Diana,keren...
Sutrisno,luar biasa . packaging nya bagus
B***u,Bgus banget
a***n,vbbvbnjjnbbbbbbbjjjjjjjjjjjjjj
K***i,"warnanya sesuai, ringan teksturnya"
Theresia,warnanya bagus..aku suka d
Rita,terimakasih sudah sampai paketnya
Rippun,mantab punya suka dengan warnanya
Rippun,"enak pakai, nyaman sepanjang hari dan warnanya bikin jatuh hati"
s***i,Alhamdulillah sampe juga paket nya makasih
Bubuid,Good
Susi,lipstik ya lembut dan tidak kering enak dipakai ya
aiga,pengiriman standart lah tekstur lipstiknya creamy enak dibibir nyaman deh baru beli makeover sih se cinta itu kyaknya sama makeover
N***a,Sebetulnya gak niat pilih varian ini. Karena varian no 9 yg saya cari dimana2 sedang habis. Gak nyangka ternyata warnanya bagus banget.. Bakal jadi favorit nih
Herlina,"paket diterima dengan baik, warna juga cakep, tutupnya pake magnet jadi gak mudah lepas."
Yusi,Warnanya ga sesuai sm kulit sy ternyata.. beda banget foto sm asli
Berly,semuanyaboke
heni,"Pesanan sudah diterima dengan baik, dipakainya terasa ringan dibikin, terima kasih.."
Munjir,Untuk pembelian kesekian x nya tak mau ganti dengan yang lainnya..
Toppers32251683,lama dlm pengiriman
N***A,sukaaa banget sama lipstick makeover. koleksi dikit-dikit ehehehe. 😁💄
dyah,dyah
L***h,udah berkali2 pake produk ini. cuma sedih aja patah.
Elisa,"lipsticknya warnanya bagus, barang sesuai pesanan, pengiriman cepat, kemasan aman dan rapi.."
Riska,"Dipakainya enak, ringan Warna soft banget cocok sama bibir aku. Dapat diskon pula.. Favorit bingit ..."
Raline,mksh
Olivia,Bahannya ringan di bibir..
mas,"pas pertama nyoba teksturnya creamy ringan dibibir, matte finish.. cocok kalem buat bibirku yg hitam krna aku perokok aktif"
ikaa,"Warnanya bagus dan ringan di bibir, tapi warna ini afternya masih lengket di bibir harus extra bersihinnya dan bibir jd kering."
Titin,cakep polll
Dian,"SUKA BANGET!! Warnanya lembut dan lembab di bibir. Aku sdh coba berbagai merk baik lokal maupun internasional alhamdulillah akhirnya nemu yang cocok buat bibirku yang super kering. Seller sangat amanah, kurir juga gercep jadi cepat sampai dengan aman sentosa. Dapat diskon lagi dari tokopedia. Pokoknya RECOMMENDED pake BANGET deh. Terima kasih toped & sellernya."
Ayun,ringan trs warnanya cocok d bibir
U***i,"maaf ya min, aku kasih bintang 1 karna aku ada orderan lagi ndk dikirim sampe ke kena sistem. mau order ulang hrs antri lagi. sdh kecewa dengan pelayanan nya......"
R***n,"bahannha ringan, bagus bgt, dan ga bukin kering gtu sangat bagus pokonha"
adtuti,"warnanya bagus.. nempel di tangan tpi ya tunggu sampe matte utk tdk terlalu nempel2, suka sih"
SRI,"respon penjual,paking barang,kualitas produk juara semuanya Make over"
I***i,"mksh kak paket udh smpe terpacking dgn baik & aman, sayangnya krg cocok sm. warnanya krn liat di foto etalase warnanya soft ternyata lbh tua warna aslinya, packing produknya bgs sih ada magnetnya gt penutupannya"
Robiatul,"bagus kak ,warnanya pink,,,terima kasih sdh direkomendasikan pas milih warna.ringan di bibir dan melembabkan."
heni,"Untuk kesekian x nya order disini, krn ringan dipakainya, terima kasih"
Yuni,oke thanks
Hadmawati,"Pengirimanmya cepat, lipstiknya bagus, terima kasih"
Agung,mntep cocok untuk istri
A***n,A***n
Debby,Originalllll. Paking rapi aman.
AElizabeth,"Produk bagus, pengiriman cepat, dapat bonus pula, recommended seller 👍 👍"
Dini,ringan transferproof
e***i,"lipsticknya bagus,sy suka warnanya"
M***i,sesuai
Inow,"paket sdh sampe. order ke 2 lipstik dgn warna sdkt lbh merah utk ibuku. alhamdulillaah beliau suka, ringan, gak bikin kering, keren dech. packing aman. tq Make Over. tq tokped"
A***h,"joss, texture super ringan ga ngerti lg"
G***a,"Bagus, sampe cepat biarpun pesen pas libur, gampang dipake lipstiknya dan tutup magnet nya memudahkan"
R***i,cakepp
Niade,cantikkkkk
Tuti,Nice
y***a,y***a
fitria,bagus
C***e,belum coba but i love the packaging and the lipstick color. freakin premium!
Liliana,"packing rapi sekali, barang ori warna bagus"
S***a,SUGOIIIIIIIII 🤩
Ridho,"Barang sesuai diskripsi,hanya pickup kurir yang lama!"
Yayuk,"warna cocok,cakep..dapet harga murah"
W***y,"Warnanya cantik. cocok banget. packing rapi dan aman, proses dan pengiriman cepat."
s***a,kelamaan.
W***y,"bagus, produk cocok, pengiriman cepat, packing super"
fegi,Paket datang saat saya keluar kota sehingga saya agak terlambat mengecek. Saya pesan lipstik 2 pcs yang datang hanya 1 pc. Kecewa berat! Masa Make Over Official Shop melakukan kesalahan mendasar seperti ini.
Ana,"pertama kali beli merek make over, lucu kemasannya ada magnet jadi auto ketutup rapat, warna juga sangat bagus dan ngak gampang lepas warna lipstik nya"
S***a,Alhamdulillah 🙏🏻
m***m,baguuusss banget
a***k,Warna Charm (Pink) matching dipakai saat mengenakan seragam Bhayangkari.
Rihan,Seneng banget pas lipstiknya datang. Warnanya kalem. Cantik. Puas banget. Makasih min.
F***n,"produk sesuai, exp msh lama, pengiriman cpt n packing aman, thx yaa"
B***a,packaging nya gemoy dan lipmattenya ringan banget
D***n,BAKALAN DIBAWA KEMANA MANA NIH😍 SUKA BANGET BANGET
Ai,Ai
M***A,"teksturnya lembut 👍🏻 wrn ok. cm kirain yg kiss lbh soft wrnnya, tp tetep ok sih. tq seller"
Inow,"suka banget. dibibir ringan dan lembab, warnanya syahdu elegan. packing aman. pokoknya recomanded. pengin coba bedak TWCnya.... MO mmg mantul. tq tokped"
T***i,lembut.. bagus banget.. matte yg ngga kering.. recomended
Indah,"seller fas respon, pengiriman juga cepet"
Hananies,Hananies
I***a,pembelian kedua
fannila,baguuussssssss bangeeeetttt
Mela,selalu yg terbaik buat aku.. terimakasih..
Yeni,"Aku Tipe org yg Susah nyari warna lipstik yg pas, Sampe bnyk lipstik di rumah,.. tp pas beli make over Alhamdulillah Sukaa bngt, Cukup 2 aja ,pink nya no 01, coklat nya no 11 . soal warna Lebih bagus Aslinya,dari pada di foto iklan Hehee"
W***y,W***y
D***y,ok
i***z,"packaging sangat amannnnnnn, klo blnj d tokped ini nyaman sekali.........lipmatte nya juga bgus wrnanya pas d bibir sy, next order lg wrna lain"
Yunanti,"syuka, enggak salah pilih"
Anisah,Anisah
Ratna,barangnya asli
Henny,"sampai dgn aman. belum dicoba, mudahan suka"
R***a,"tekstur lembut dan awet, warna cakep, pengiriman cepat.."
R***i,"belum coba dipakai, kyknya bagus sesuai harga"
f***a,"01. Charm. teksturnya creamy jd harus benar2 dibersihkan, kalau gk bakal numpuk dan bikin bibir pecah2. warna natural. awalnya ngerasa terlihat pucat tp lama2 kaya nyatu sama warna bibir, cantik natural warnanya. cinta produk indonesia"
h***y,"terima kasih make over, lipstik nya bagus enak d bibir, pengiriman cepet & dpt harga diskon smoga sering² diskon yaaaa next pasti order lg 🙏"
