Nama Akun,Ulasan
F***i,bagus
O***a,"Teksturnya smooth, ringan banget, tapi emang kekurangannya masih transfer cuma gpp sih buat aku, ga bikin bibir kayak ketarik, buildable, buat warna kulit sawo matang msh masuk... buat daily oke sih... ada hint brown orangenya gitu walaupun tipis..."
A***a,"Terima kasih..terima dgn aman & sesuai pesanan, lumayan cocok dgn lipstik ini tdk kering, tp mmg betul cepat hilang😅"
U***i,"sudah di coba, warnanya menyala di bibirku 😆 better buat ombre ^^"
S***r,barangnya bagus ko tp expedisinya lama bgt kacau
L***a,warnanya baguuus banget gak noraaak dan smoooth banget di bibir
i***a,Ok
W***i,suka warna lipstiknya... 👍
V***i,"ringan dipake, namun langsung rata dibibir, warna bagus, tahan lama, namun tidak meninggalkan kesan tebal..."
Y***i,produk sih oke tp pengemasan dan pengiriman lama seminggu baru smpai..
Tary,"Formulanya lembut, warnanya cantik nude ke coklat mudah. Aku sukaa, tahan lama engga begitu kalo di aku, tapi ga masalah buat aku mah. Btw ini pembelian ke-2 akuuu yg c10 vow"
Lestari,"langsung dicoba. teksturnya creamy & lembab di bibir. dipakai overline ga bleber. warnanya lebih lembut dari ekspektasi dan kurang nge pink, tapi cakep. insyaallah beli lagi. udah jatuh cinta sama lipstik ini"
Maya,warna yang kucari selama ini gilaaaaaaaa pink nya seger gak pucet gak menor juga pokoknya cocok di kuning Langsat
Yani,the best
Lucky,"tekstur ringan, cocok dimukaku cuma paling pake buat kondangan aja"
Rahma,Alhamdulillah dapet best price di payday sale.
J***n,"Tekstur nya enak bangeeett. Ringan sesuai namanya lip whip. Color pay-off nya jg cakep natural utk C07 Soiree. Not really 100% matte transfer-proof sih krn emg gak diiklankan sprt itu, sebagai bukti itu di tangan bekas kiss stain setelah pengaplikasian"
Siti,belum dibuka karna buat seserahan
R***a,Lipsticknya udah sampe ya
Hijau,produk bagus tapi admin nya dan kurir nya yg bermasalah
C***a,"produknya bagus, warnanya nude cocok buat bade ombre, packaging standar & aman."
r***a,puas bgt sama produk make over.ditambah ada promo beli lokal.mantap
e***n,"barang sdh diterima, dikemas rapi..aman..nyaman di bibir ..warna ok..awet..tq"
t***a,bagusssssss
T***s,"lipstik favorite. pembelian kedua. walopun ga transferproof, tp suka bgt sama warna dan feel nya yg lembab."
Tutus,Tutus
L***a,bagus banget warna nya cantik banget cukup tahan lama jugaa
Elly,finally datang sempet dag dig dug karena alamat pengiriman kurang😅 warna bagus...suka dehh👍🏻
A***f,packing rapi barang sesuai pesanan
Sundari,alhmdulilah paket udah Sampek... q langganan pakek yg warna ini... sukak bgt SM makeover.. krna lembut dibibir TDK bikin kering
D***a,"Bahannya ringan, tidak mudah luntur, kualitas terbaik, warnanya bagus cocok untuk kulit sawo matang"
Silvya,baguuss. finishnya matte tp lembab 👍
stephanie,mantap
m***a,"Lipstiknya enak ringan, cocok untuk bibir kering. ini bukan lipstik transferproof, jadi kalo habis makan harus d touchup lagi, tapi gak papa karna gak bikin bibir kering dan pas d touchup lagi hasilnya pun bagus2 aja. Kalo di bibirku yg agak gelap warnanya gak begitu sama kayak d gambar, warnanya ditengah2 antara C11 dan C09. Makasih seller 👍🏻"
Y***a,"Warna sesuai yg diinginkan, dan hydrastaynya sesuai yg di infokan. Baru pertama beli & suka. Next mo coba varian lainnya. Packaging ok bgt. Makasih ya."
Minerva,"suka banget sama produk ini, warnanya pas, ga bikin bibir kering, awet dipakai seharian, sesudah makan maupun minum tetep awet. Harganya juga terjangkau. Terimakasih."
Wahyu,"sesuai gambar dan deskripsi, hanya pengiriman freeongkir lama"
D***i,beli satu tp packagingnya rapih bgt 👍👍
F***a,F***a
A***A,baru coba warna ini....semoga cocok yahhh
E***a,sudah setia sama makeoverr dari dulu❤️
Sumarna,"barang sesuai deskrip toko amanah, kurir ramah, sukses sll buat tokped"
yuniar,terasa ringan sekali dan lembab seperti ga pakai lipcream dan tapi kurang cover warnanya.
A***a,"Pigmentasinya bagus. Bisa ngecover warna hitam di pinggiran bibir aku. Tapi sayangnya masih transfer klo makan dan minum, aku udh coba aplikasikan ke bibir aku dan ternyata nyeplak ke gelas minum aku 😭, harus sering retouch. Padahal warnanya cantik bgt. Sebenernya bibir aku tipe dry lips, tapi pake ini gak bikin bibir aku jadi seperti kering kerontang, enggak kok, cuman terlihat agak crack, tapi tetep terlihat smooth gitu. Saat diaplikasikan juga terasa ringan. Terima kasih."
Novita,"baru pertama kali coba hidrastay smooth Lip Whip...semoga cocok,kali ini coba warna C01 Grace dan C11.Suave...semoga cocok"
Achil,Official store pasti yang terbaik👌. Terimakasih ya
F***i,Gak bikin kering. Beda skin tone pasti akan beda warna ketika dipakai.
Shafitri,"sukaaa banget! ternyata hydrastay bener2 lembab banget dibibirku, walaupun pas makan tetep agak ilang, tapi gapapa yang penting hydrated dan warnanya cocok. kalo bisa tambah warna lagi yang kayak C12 Detail ini, tapi agak lebih maroon biar lebih gelap"
I***a,packing aman & rapii
Ulil,niceee
Iim,"paketnya sudah sampai dirumah dengan Selamat tanpa ada yg rusak atau cacat barang sesuai gambar Dan pesanan paking rapi pengiriman cepat, warnanya terlalu terang, tapi nyaman di bibir, ringan"
Nareta,"Packing aman, kemasan dalam keadaan baik, tapi ternyata warnanya tidak sesuai ekspektasi 😁, untungnya pas dicoba masih cocok di kulit wajah."
N***g,gitulah
Della,"ringan serasa g pke lipstik, hasil nya mate tpi g bikin kering bibir, wrna nya cocok sama kulitku yg sawo mateng, mantap"
S***i,barang bagus pengiriman aman. cuma kurg ccok di bbir. pdahal tekstur lembut dan produk ini serinv tek pake
S***i,packing nya aman sekali.. dan expired masih lama tahun 2026. hydrastay benar2 favorit akuuuu
Rima,dapet bonus cushion huhuhy thank youuu
Emma,pelayanan bagus
Komarudin,barang sudah sampai sesuai dengan pesanan
Komarudin,barang sudah sampai sesuai dengan pesanan
Komarudin,barang sudah sampai sesuai dengan pesanan
Eka,transferproof ternyata
s***i,tks make over...
h***i,worth the money. moisturizing for sure. love it.
W***y,"Ini warnanya emang bingung. Maksudnya ingin warna pink tapi hasilnya di bibirku ini orange terang. Tapi bagusss bikin cerah( warna muka emang cenderung terang), padahal warna bibir gelap tapi coveragenya baguss. Jadi ini lebih ke pink orange jatohnya. Tergantung bibir masing2 tentunya yaa. Love it pokoknya."
L***e,L***e
alina,bagus bnget....dpt bonus gelas juga
afif,Warna bagus sesuai gambar
A***a,warnanya cakep. Terimakasih juga bonus tester produknya
Shanti,"ballad warnanya okee, lovely nude, poetic kurang suka krn cenderung ke merah ngejreng 😆"
nia,bikin bibir nyaman
