Nama Akun,Ulasan
B***B,"Barang sesuai deskripsi, dikemas dengan baik. Namun, warnanya masih belum sesuai untuk ombre dengan lip stylo 209."
Riska,"respon cepat, kemasan rapi"
Chairunisa,Cantik bgttttt & walaupun suka masih nempel tp glossynya ga langsung ilang. Stay lama & dibersihinnya perlu pake oil/balm. Suka❤️
V***a,"Warna bagus, hasil akhir glazing.. really love it"
I***n,favorite deh pokonya mantap make over glazed cinta bgt
widiya,barang nya bagus rekomendasi pokoknya
R***i,"Untuk pengemasannya bagus,, super double sefti banget,, dpt potongan harga & gratis ongkir juga.. terimakasih kak semoga lancar terus usahanya.."
n***a,produk lokal terjuaraaaa pokoknya cinta bgtt sm make over 🥰🫶🏻 untuk lip nya awet bgt ga di raguin lg!
Zaim,Warnanya cantik bangettt😍
Carolina,di bibir gelap bgt jadinya
ANIE,"warnanya bagus banget 😍 merah tapi gak judes, ini cocok utk acara apapun, cakeppppp"
A***s,A***s
Isti,selalu puas sama produknya. terima kasih make over
A***a,Beneran Powerstay... buat makan tetep aja on poin...
Veby,"Teksturnya ringan, halus ga kasar 💄 cakeeep banget hasil ombre DNA + HALLWAY 💋 Love it! 🫰🏻"
Nina,bagus banget shade nya sesuai ♥️ Keren 😍
Taira,"Paket nya sempet gk kelacak sehari, mudah2an cocok wkwkwk"
Pikah,pengiriman lama 😥
A***d,"warnanya lebih ke coklat dan pas dipake di diemin 5-10menit pas buat minum, lipstick nya nempel di botol/gelas"
Lora,Warna nude brown. Ketahanan dan transferproof sesuai klaim.
k***a,"Nutupin bibir gelap, ringan dipakenya, tahan lama"
Dyna,bahan ringan
F***a,warnanya bagus banget dan beneran gak gampang luntur meskipun makan yang berminyakk the best deh!
C***t,Warnanya cantik bgtttt
Sri,"sumpah ini lipstik bagusss banget, wajib punya!!!"
F***a,menyengangkan
s***a,"Warnanya pas dibibirku MLBB jadinya. Ketahanan mantap, lengketnya minim. Gimanapun lipgloss pasti ada lebgket. Tapi hasilnya bagus glossy enggak ngecrack dibibir super duper kering. Worth to buy pokoknya apalagi dapet diskon dari 100k jadi 80k an"
