Nama Akun,Ulasan
Egi,"barang yg datang tidak lengkap,pesan 5 barang yg datang cuman 2 pada ****"
r***a,baguss warnanya kalem. ga diombre aja bagus kok
S***i,"akhirnya sampe jugaaa yang aku tungguuu (12 hari) krn ada kendala di ekspedisi. sengaja purchased awal bulan biar nggak terlalu kena overload lebaran, tapi tetep kena wkwk. makasih banyaaak pak kurir udah bertanggung jawab￼ tetep antar paket aku🙏🏻 got one of my fav shades: ✨skye✨ bikin wajah aku cerah dan emang seenak itu di bibir. bisa untuk base ombre jugaaa cakep bgt pokoknya nggak usah diragukan lagi! thanks a lot, Make Over!"
Ramadhini,tidak pernah mengecewakan
zerly,Sangatta bagussss sekalijjj
D***h,pengiriman cepat
Ujang,bahan bagus
H***a,sesuai ekspektasi
P***i,"cepat datangnya, packaging nya aman banget"
D***h,Akan menjadi best base ombre aku yg kedua. Surely gonna repurchase again.
kaniara,warnanya cantik banget dan sesuai dengan pesanan! pengiriman ok!
f***a,"udah pake makeover yg ini bertahun-tahun, terakhir beli tahun lalu dan awet banget ngga habis-habis. tapi kenapa ini tutupnya ngga keceng yaaa😭 trs kerasa banget rasa lilinnya"
A***a,"akhirnya yg ditunggu2, beli waktu harga diskon. warna skye cocok buat dasaran ombre. thank u makeover!!!!☺"
nd,"tekstur, kualitas ok dan warna cantik"
Kris,bagus
Fidyani,"produk nya ok sayangnya pengiriman kurang, paket nyasar tp alhamdulillah sdh dikembalikan ke alamat yg benar, terima kasih jg sdh dibantu utk follow up"
R***a,"paketnya sudah sampai packingnya amat sangat rapih dan aman, serta produk pun tidak ada cacat dan estimasi pengiriman pun cukup cepat , terimakasih banyak ya admin🙏🏻"
A***a,"Kemasannya top bgt uda d pkein box dlmnya pke bubblewarp jga, langsung d proses kirim 👍 kualitas produk sdah gak d raguin lg best bgt produk2 make over"
Retno,"sukaaakkk.....kemasannya keren, packing super rapi, warna sesuai yg aq pilih...mksh"
D***s,D***s
Wahyu,Baru kali ini pakai produk dari Make Over...biasanya make up yg dari New York itu...warna cantik & packaging eksklusif...belum saya coba kw bibir saya sih jd blm tau hasilnya.
H***s,yess makasih kurir maksih make over akhirnya nyampe
Sutihat,Sutihat
M***a,Barang aman. TAPI PENGIRIMAN SUPER LAMAAAAAA. PESAN TGL 3 NYAMPENYA TGL 14. EKSPEDISINYA TIDAK REKOMENDASI. BARANG KELAMAAN DI GUDANG GA DI ANTER2.
Rini,Rini
Ikun,bagus bgt.....sesuai ekspektasi ...makasih kak ..sukses utk toko nya kak
M***a,"warna bagus, tapi pengiriman lama"
Cicilia,Jujurly blom dicoba Bli krn mau coba n kemakan review Wakakaka
r***a,"bikin muka keliatan lebih muda, warnanya tuh pas, kalem gak gonjreng tapi bikin fresh,terbaik"
Ria,"Teksturnya lembut bgt di bibir ternyata, kirain bakal kasar kaya lip liner ternyata nggak"
L***i,warnanya keren
Amy,"Lembab di bibir, warna pink cantik di bibir"
A***e,kualitas sama kayak di toko tapi garganya juaaaaaauuuuuhhh lebih murah. keren bgt lah pokoknya
Devy,"kualitas oke, cocok untuk base ombre, ringan"
T***a,Barang diterima sesuai dan aman sampe tujuan Skye tetep jadi base ombre nomor 1 Selalu langganan skye dari dulu Ternyata belanja lewat tokopedia lebih banyak promonya!
RANI,"bjirr bagus bgt. yang suka ombre harus punya!! nyesel dari dulu ga di co, malah pilih opsi lain terus yang lebih murah"
L***y,Warnanya baguss
Karina,Packaging sangat aman. Harga hemat. Pengiriman standar. Warna Skye cakep banget nudenya untuk bikin ombre.
V***i,"ringan dipake, namun langsung rata dibibir, warna bagus, tahan lama, namun tidak meninggalkan kesan tebal...keren"
Momvia,"lipstik crayon yg ringan di bibir, tapi tampilan warnanya solid color, full pigmented, matte tapi ga bikin bibir kering"
R***a,"bagus warnanya, tapi pengiriman lama sekali"
M***a,M***a
K***n,"Dapat diskon jd 60rb an, packing ok, tp pengiriman lama di kurir nya padahal selasa uda muncul nama kurir tp baru smp di hari jumat nya."
K***s,"saya suka produk makeover tidak ada masalah, tpi maaf bintang 4 karena dikirim pakai sapx sampai 6hari padahal jasa pengiriman yg lain cuma 3hari,"
U***i,bagus
St,St
N***a,"produk oke. pengiriman kurang baik, melewati batas waktu estimasi"
K***a,BAGUS BANGET
Sri,warna ok sesuai
s***i,"Baru pertama beli varian ini, semoga warnanya cocok"
Siti,"Teksturnya lembut banget, ngga berat di bibir. Baru kali ini ngerasain produk bibir matte tapi terasa ringan. Warnanya juga bagus di bibir aku…"
R***a,👍
Farah,Warnanya bagus. Tp transfer bgttt
N***A,sukaaa banget sama lipstick makeover. koleksi dikit-dikit ehehehe. 😁💄
salma,warna cocok untuk kulitku
M***h,lip matte nyaman dipakai suka dong
Ratih,BARANG BAGUS
Devina,warnanya bagus bgt dibibir
C***e,makasih bonus nya..
Riska,"Dipakainya enak, ringan Warna soft banget cocok sama bibir aku. Dapat diskon pula.. Favorit bingit ..."
R***a,"produknya bagus, cuma pengiriman nya aja yg agak lama"
rena,Mantap👍🏼
rina,baguuuuuuussssss bggttttt
andini,"bagus, nutupin pinggir bibir yg agak gelap 💗💗"
d***a,baguuuusss suka!
Lafinah,Bagusss bgt aman pelayanan bagusss
D***g,D***g
I***I,barang sudah diterima dengan baik
I***u,baguuuusss untuk ngeblend lipstik warna gelap... skrg si lipstik gelap bisa dipake deh.... sukkaaa
Wati,baguss...pengirimannya aj yg lama
zachraaul,sumpah warna nude nyaa cakepp bgttttt keracunan tiktokkkk 🔥🔥
S***a,S***a
VERA,Pengiriman lama
N***A,cakep banger warnanyaaa pas sesuai keinginan. expired date masih lama. next akan beli lagi warna lain. terima kasih. 🫶😍
n***y,love bgt sm lip crayon shade skye ini thankz ya
G***u,Favorit deh🫶🏻
s***a,cakep buat base ombre
fanny,fanny
Muthia,cocok untuk base ombre!
Rina,bru x ni si nemu yg udh paass bgt.. ringan dipke tuh... puaaass bgt paxkingya jg rapih bgt
A***a,"bagus, matte, warnanya jg cakep"
