Nama Akun,Ulasan
Dhiana,"cakep next beli lagi disini, tapi kalau bisa kurirnya jgn jnt donk pernah bermasalah jadi riskan."
Almira,tipe kulitku kering
RESPATI,RESPATI
Litaz,tipe kulitku berminyak
k***a,"bahannya ringan,warna cocok d kulit aku tipe kulitku kering"
deni,tipe kulitku kombinasi tipe kulitku sensitif under tone kulitku netral tipe kulitku berminyak
P***a,Produk sesuai orderan. Pengiriman cukup cepat walaupun lebaran
K***a,tipe kulitku berminyak bagus under tone kulitku warm
Irma,tipe kulitku kering
Melisa,"Barangnya bgs, sayabg pengirimannya lama krn kena lebaran.. pdhl pilih ya yg sampe sblm lebaran"
L***o,Barang oke sesuai pesanan dan dikirim super cepat . Thank u min
A***a,"cocok pake ini, asli coverage nya bagus langsung nempel dikulit, bikin kulit g berminyak, tone warnanya juga sesuai buat kulitku"
ONK,"Shade-nya matching banget, semoga cocok dan tdk oksidasi, belum coba sih."
I***d,"barang bagus, sayang pengiriman hampir 2 minggu..."
Amelia,tipe kulitku berminyak
S***i,produk bagus cocok high quality coverage nya keren. saran bnget tokopedia make over stop aja kerjasama sama JNE paket stuck 3 hari ga dianter2 dan pas di datengin di gudang ga profesional bgt krywannya. kalo gamau kena imbas stop kerjasama dgan JNE
Miftachul,kulitku kombinasi dan cocok
A***a,A***a
P***a,barang sesuai pesanan.. promo nya gede banget tipe kulitku normal
Yessy,"bagus smooth dan tahan lama, thank you buat surprise giftnya....sukses selalu"
Safitri,tipe kulitku berminyak dan enak dipakainya
Mumut,sesuai pesanan barang aman dapat spesial gift pula puas bnget thanks ya
Putri,Make Over Powerstay 24H Matte Powder Foundation merupakan bedak padat dengan kandungan foundation untuk mendapatkan hasil Airbrushed Smooth Cover hingga 24 jam.
Sheilla,tipe kulitku normal tipe kulitku kombinasi
prima,bagus tepat waktu
N***i,"Alhamdulillah, paketnya nyampe sebelum lebaran, gercep bgt,, make over kualitas ga perlu ditanya lg,, belanja 200rb dapat free gift nya ga kaleng2 dapatnya cushion,, MashaAllah baik bgt.. thank make over n tokped.."
Cynthia,tipe kulitku berminyak
Vin,tipe kulitku berminyak under tone kulitku netral
Disya,tipe kulitku berminyak under tone kulitku cool
Pipit,mantep pokonya deh tipe kulitku berminyak tipe kulitku normal tipe kulitku kering under tone kulitku warm tipe kulitku kombinasi under tone kulitku cool under tone kulitku netral
h***i,"Pesanan sudah diterima dengan baik, terima kasih.."
A***u,Respon seller sangat baik
Yuyun,"terimakasih pesanan sudah sampai, packing nya rapi aman dan barangnya utuh aman dan sesuai dengan kulit"
Y***a,"bagusss banget, tks ya"
Fera,produk dikirim sesuai pesanan
N***a,baguss tahan lama oil controlnya juga okee 💘💕
N***m,tipe kulitku berminyak
V***a,nice blending with skin tone
Z***a,"bedak terasa ringan di kulit , cocok di kulit kering, dipake kena keringet masih bagus."
Tety,"Sesuai order, bedak utuh tidak ada pecah sama sekali. packing rapih banget. tipe kulitku normal"
P***u,"barang sesuai description,bahan lembut dan cocok di kulit"
h***a,"sebel banget mau beli di offline store mba mba spg nya jutek nya Masya Allah, padahal kita mau beli, tapi di judge dari pakaian nya, takut gk mampu beli. padahal mah ini bedak sehari hari pake, udh yg dari packaging lama, smpe yg baru udh nyetok. dahlah kita beli online ajaa. 😞😞"
S***a,S***a
Puspita,tipe kulitku sensitif
Cakrahna,"tipe kulitku kombinasi, tapi bedaknya bisa mengontrol minyak dan stay seharian. shadenya juga cocok untuk kulitku yg sawo matang 😍"
Sutarni,brg sesuai pesanan packing super aman dan rapi jgn ragu beli disini
leni,"tipe kulitku berminyak lumayan gk retak"".."
S***i,"Mantab, pesanan kesekian kali"
a***a,"pengiriman cepet bgtt cuma 2harii, barangnya juga orii, pengemasan aman bgtt🤍🤍☝🏻☝🏻☝🏻🤍☝🏻🤍☝🏻"
N***a,kemasan yg baru keren bgttt
Siti,packing rapih
R***a,tipe kulitku berminyak dan bener bener dibikin matte 🫶🏻
Allya,awalnya agak ragu pilih tone warna ini.. tapi ternyata bagus banget.. makasih yaa seller udah kasih saran pilih warna ini.. 🙏
Tri,"Powder favorit yg selalu kubawa kemana”, terimakasih seller🤗."
Imron,sesuai pesanan
Bia,"pengiriman cukup cepat, packing rapi dalam dus, produk aman tidak crack saat dipakai ,warna shade sesuai request, bedaknya nyaman di wajah terima kasih"
S***y,.
yayuk,tipe kulitku berminyak
J***r,under tone kulitku warm
sumiati,mantul pokoknya kemasan nya aman & cantik banget
N***a,"gausah ditanya lagi inimah bagus bangettt beli tanggal kembar dapet murah ditambah diskon tokped, makasih make over"
Samudera,kemasan menarik expired masih lama semoga cocok dikulit krn belum dicoba
E***y,"Chat direspons dgn baik dan barang dikemas dgn rapih. Blm dicoba, semoga cocok."
Primas,"Pembelian Mar 2024, expired Jan 27. Shade juga sesuai, pokoknya terima kasih"
N***a,Coveragenya mantul!! Dikirimnya cepat dan packagingnya aman sekali
O***n,"pelayanan yang sangat baik, fast respon. barang juga mantap. terima kasih.sukses selalu tipe kulitku berminyak"
S***a,Good
I***a,"tipe kulitku normal, di pakainya halus bisa menutupi noda yg ada."
M,Oke bagus
tini,tipe kulitku berminyak tipe kulitku kombinasi
ratna,"Barang tidak di terima, tidak ada nama penerima LEDA di lokasi, lampiran foto lokasi tidak sesuai."
E***a,"terima kasih make over, bedak nya sudah sampai . packing aman banget bubble wrap nya banyak jadi gak takut bedak pecah ."
L***l,"Barang sesuai pesanan. Kualitas barang bagus. Tapi pengiriman nya tidak update, agak lama, tunggu di konfirmasi dahulu ke admin."
Riris,bagusss banget dan warnanya ngeblend dikulit...tahan lama dipakai pagi hari sampai malam hari tipe kulitku kombinasi
Ali,sudah ok
Amelia,enteng diwajah. Cuman pengiriman rada lama x ini
A***a,Manteb bgt sih makin lama dipake makin bagus bukan makin crack 🤣🥰
N***n,tipe kulitku normal under tone kulitku warm
Mariani,"Semuanya ok, hanya saja pengirimannya cukup lamaaa.."
M***a,tipe kulitku berminyak under tone kulitku warm
S***i,ok belum di coba semoga cocok tipe kulitku normal
D***a,barangnya bagusss pengemasan aman dan datang tepat waktuuu
B***s,Testimoni nya nggak tau blm tnya ke istriku 🤣
D***a,"Bisa banget u/ penggunaan sehari-hari, aplikasi dg brush, jd coveragenya nggak kelewat heboh."
F***h,pengiriman lama banget sampe seminggu padahal masih sama2 jabodetabek
C***i,tipe kulitku sensitif tipe kulitku kombinasi under tone kulitku warm
S***i,"Bagus, cocok dgn kulit. Kemasan terlihat lux"
Henny,tipe kulitku kering bagus bgt
Rd,"barang sudah sampai, tapi dalam keadaan kotak yg hancur, segel sudah dibuka, dan sepertinya di repack. untung isinya aman. fyi kurirnya JNE. kalo kualitas bedaknya gausah diragukan, kecintaan sepanjang masa."
chika,Belum dicoba pakai seharian. Tapi shade yg dipilih cukup match 👍🏻 undertoneku warm with olive vein. Semoga oke pas dicoba full makeup.
Lucky,"tipe kulitku kombinasi under tone kulitku netral, sudah beberapa kali pembelian, puas"
Widsfrn,"beda kesayangan terbaik, selalu cocok sama beda ini full coverage jugaa paraaah banget deh"
R***a,Packingnya rapi & warnanya sesuai sama kulitku
S***a,nyaman banget saat digunakan ringan banget di wajah
Rohayati,"cocok dikulit, tampilan jadi lembut merata tipe kulitku berminyak"
D***n,"udah beli beberapa kali, dari packingan lama sampe baru. baguus. cuma lagi tester warna yang cocok untuk seharian. tetap oksidasi untuk wajah berminyak, jadi beli warna agak terang baru bagus hasilnya walau keringetan"
T***9,"Kemasannya bagus, sehingga barang yg diterima tdk rusak / pecah dan barang sesuai yg dipesan 👍👍"
Nina,"bagus,coverage nya keren .."
E***a,"bahannya ringan, coveragenya full, cocok dikulit berminyak selalu repeat orderrree tipe kulitku berminyak tipe kulitku sensitif under tone kulitku netral"
A***u,Produk datang dg baik. Tapi sedih banget kalau ekspedisinya id express. Paket mesti dilempar dan pasti penyok parah untung bubblenya aman dan produknya aman 🥲
A***u,"Produk diterima dengan baik, untung bubblenya tebel karena kardusnya penyok parahhh"
M***a,tipe kulitku berminyak
Q***y,tipe kulitku normal
K***n,udah kesekilan kalinya beli disini. ga mengecewakan. plus dapat gift
Melysa,Sampai dengan aman dan shadenya passs cocok🙌🏻
intan,"bagus, pas sama shade yang dibutuhkan. penerimanya juga puas"
Mama,cocok banget di kulit wajah saya
P***i,tipe kulitku berminyak aaa aku suka bangett bedaknya aku pilih yg W 42 dikulit aku yg sawo mateng cocok GK aneh pas aku sukaa mkshh
e***k,tipe kulitku berminyak under tone kulitku cool
Andreas,"Barangnya bagus. Melekat sempurna dikulit, warnanya juga sempurna. Seler juga responsif. Puas belanja disini. Harga juga murah."
Elis,Cocok untuk daily
A***a,"Sesuai orderan, packing aman, produk ok.."
I***r,tipe kulitku normal
Luh,Bagus cepat barang asli ……………………. Tahan lama cocok utk kulit berminyak
Vivin,"Cocok di kulit aku , melembabkan, tahan lama"
i***a,Bagus fix. Expired masih lama juga. Thank you!
cindy,"shadenya sangat cocok untuk kulit sawo matang medium, dapat menutupi kemerahan dengan sekali tap. sangat recommended 👍🏻👍🏻"
Waty,alhamdulillah sampai juga pesananku. seperti biasa bedaknya bagus. terimakasih 😍🙏
D***a,Ada harga ada kualitas. Makin hari makin bagus sih. Alhamdulillah ccok pake ini tahan lama. Keringetab ttap bagus.
T***y,"produk makeover yg powerstay 24H ini bener2 bagus, ga berubah dr pagi sampe malam, oil controlnya bagus banget, kita jg bisa konsultasi dgn sellernya, TOP deh, tks ya"
ema,fast respon barang sesuai pesanan terbaiik👍
noviana,good tipe kulitku kombinasi
R***a,daya serapnya bagus dan ketahanannya cukup baik
Lisia,"sempet mikir salah beli, tapi ternyata kemasannya ganti ya. lebih mewwaaaahh"
M***r,Bedaknya original dan pengemasan nya bagus👍🏻
R***a,"Honest review: buat saya underwhelming banget produknya. Banyak kecewanya, mulai dari harganya yg lumayan pricey, lalu dpt rekomendasi shade yg lbh terang dari skintone sy jd malah keliatan pucat (padahal sy udh kirim foto by chat sama infoin kalo sy prefer shade yg hasil akhirnya natural look) smp dengan klaim medium to high coverage yg bener2 bikin disinformasi krn udh retouch berkali2 tp tetap ga nutup dan mengurangi dark spots di wajah. Sebelumnya sy pakai powder foundation dr brand l'o***l yg mah udah lbh well known, tp malah justru lbh murah dan bagus. Jujur aja utk produk lokal dgn harga yg lbh mahal dan kualitas yg ga lbh baik, for me its quite disapppointing. Nilai plusnya dari review sy cm tim adminnya lumayan komunikatif sama kooperatif"
P***i,tipe kulitku kombinasi under tone kulitku warm
E***i,"Cepat bgt pengirimannya, packingan jga aman, sudah ke 2x pesan disini. Kemasan barunya lebih elegant. Thank you makeover"
Endang,tipe kulitku berminyak
V***a,tipe kulitku berminyak
Ita,tipe kulitku berminyak
k***a,"under tone kulitku warm tipe kulitku kombinasi cocok banhettttttt pake inii warnanya bagus, bkin muka halusss dan pengiriman cepet bangettttt looocchhhhhh pokoknya makasi make over 😻😻😻😻😞😞😞😞"
Florentina,"Paket dikemas sangat baik, aman dan rapi. Selalu puas belanja di Makeover Official Store. Saya cocok dengan produknya."
s***a,bagus tipe kulitku berminyak
Wisnu,tipe kulitku normal
N***a,Proses dan pengiriman lama. Barang baru sampai 1 minggu setelah tanggal order. Kemasan rapi dan aman
H***a,"Baru pertama kali pakai ini, semoga cocok dg kulit"
W***n,"Pesanan sesuai, repurchase powder foundation ini karena bikin satset tanpa ribet✨👌🏻"
Indah,tipe kulitku normal
E***r,Good 🤩
D***n,"tipe kulitku berminyak, walaupun tetap oksidasi, tapi masih bagus di wajah"
T***a,Barang bagus lengkap sesuai. But it takes 8 days to arrive padahal satu daerah?😮‍💨😮‍💨😮‍💨
ratih,under tone kulitku netral
N***a,sebagus itu bedaknyaa walaupun pricey tapi worth it bangettt. bener2 stay bedaknya dan kadang gak perlu touch up lagi. thank youu..
M***n,Ok
f***a,barang sesuai exp masih lama (2027)
R***m,"Overall OK. Puas bangetttt. Barang bagus, dapat discount dari toko dan tokopedia. Pengiriman cukup sesuai jadwal"
Dini,top markotop pelayanan nya brg aman tipe kulitku berminyak beli shade ini hsl konsul sma cs nya
Hanna,tengkyuuuu dpt potongn byk.....
Elsa,"tipe kulitku berminyak, finishnya halus asal sudah skin prep dengan benar. W32 warnanya pas banget beneran sama dengan kulit wajah 😅"
R***i,"pengiriman cepat, packing rapi"
Nur,"cakep bedaknya. gampang merata saat diaplikasikan ke wajah. di wajah juga gk kerasa berat pas dipakai, ringan. tipe kulitku berminyak"
Intha,pengirimannya cepet banget... makasih seller
A***u,"Puas, ekspedisinya yg gak puas krna paket datang udah rusak semua kardusnya"
Lusi,Barang sesuai deskripsi. Pengiriman cepat. Thank you!
Lusi,Barang sesuai deskripsi. Pengiriman cepat. Thank you!
Takur,tipe kulitku berminyak tipe kulitku kombinasi tipe kulitku kering tipe kulitku normal tipe kulitku sensitif under tone kulitku netral under tone kulitku warm4 under tone kulitku cool
N***A,Sempet dibatalkan by system dan order ulang akhirnya sampe juga barangnya .. barang Bagus .. aman .. tks seller
Putri,Make Over Powerstay 24H Matte Powder Foundation merupakan bedak padat dengan kandungan foundation untuk mendapatkan hasil Airbrushed Smooth Cover hingga 24 jam.
Putri,Make Over Powerstay 24H Matte Powder Foundation merupakan bedak padat dengan kandungan foundation untuk mendapatkan hasil Airbrushed Smooth Cover hingga 24 jam.
Putri,Make Over Powerstay 24H Matte Powder Foundation merupakan bedak padat dengan kandungan foundation untuk mendapatkan hasil Airbrushed Smooth Cover hingga 24 jam.
L***a,tipe kulitku berminyak under tone kulitku netral
Erni,ori
Keto,Keto
Putri,Make Over Powerstay 24H Matte Powder Foundation merupakan bedak padat dengan kandungan foundation untuk mendapatkan hasil Airbrushed Smooth Cover hingga 24 jam.
R***i,R***i
Nurin,tipe kulitku berminyak under tone kulitku warm
Desy,semoga shadenya cocok ya soalnya sebelumnya beli keterangan shadenya.. kalau produknya InsyaAllah ok
R***a,"packaging aman. baru kali ini sy diminta berpikir utk skintone yg tepat krn ada 20 varian jd banyak option. dan benar panduannya, baru kali ini sy beli bedak yg pas warnanya ama kulit saya. coverage nya mantap d kulit sy yg berminyak. makasih ya."
S***i,"sebelum order aku sempet nanya dulu di chat minta saran shade yang cocok buat undertone kulitku, dan pas aku coba dikit ternyata saran dari adminnya cocok bgt! it really works, thank u ka"
S***h,tipe kulitku berminyak
y***a,tipe kulitku kering tipe kulitku normal
G***h,tipe kulitku berminyak dan tipe kulitku sensitif. under tone kulitku cool. Selalu cocok pakai ini. Berharap mereka punya kemasan refilnya. Pengemasan disini tuh bagus banget. Harga pun terjangkau.
G***h,"tipe kulitku berminyak, tipe kulitku sensitif, under tone kulitku cool. Memang paling bagus beli di official karna harganya terjangkau"
Olivia,bagus sesuai review banyak orang
Juniarti,barang sesuai pengiriman lama banget
n***i,"untuk ke sekian kalinya beli disini selalu puas.. thx seller, thx abang kurir"
E***a,E***a
Renny,Good
Elisa,"Baru pertama coba.. Sempet ragu pilih shade tapi ternyata saat barang datang,shadenya sama kayak warna kulit saya yang medium netral. Makasih make over.. Tar cobain foundinya lagi.. 🥰"
I***a,"Make over ga pernah gagal!!! Packagingnya cakep banget, simple dan elegan. Bedaknya juga haluuuuus banget. Pas banget shade ini cocok buat kulit sawo matang medium kayak aku. Ini high coverage menurut aku, karena base aku pakai cushion jadi pake ini makin cakep dan ga bikin geser👌🏼👌🏼"
p***f,"niat bgt packagingnya,, padhal cuman veli bedak 1,,, tapi kyaknya kok salah shade, tpi hpp lah la bigung juga shade nya apa pdhal udah tanya2,, ya udah lah semoga sukses terus"
S***i,Sesuai pesanan
Evelyn,"untuk barangnya sesuai pesanan, packingnya oke. tapi untuk pengirimannya lama sekali, melebihi tgl estimasi, sedang barang sudah di tangan kurir berhari2. wkt dikirim juga dilempar aja, padahal di rumah ada orang. kurirnya bintang 1"
Andini,Halus sekali. Cuma warna kurang gelap untukku. Pengiriman 3 hari.
M***i,"Sesuai, cocok utk kulit cerah"
adnin,tidak terlalu matte
sharlita,Packagingnya baru!!! Keren banget lebih mewah!!! Sukaaa💖
N***a,Aaa udah sampe.. semoga cucok ya🙏
A***h,"Sesuai pesanan, packing rapi dan aman. Good job.."
S***a,pengiriman cepatt
e***r,"barang nya keren, cuman pengiriman nya 1 abad 😀"
Putri,Make Over Powerstay 24H Matte Powder Foundation merupakan bedak padat dengan kandungan foundation untuk mendapatkan hasil Airbrushed Smooth Cover hingga 24 jam.
Putri,Make Over Powerstay 24H Matte Powder Foundation merupakan bedak padat dengan kandungan foundation untuk mendapatkan hasil Airbrushed Smooth Cover hingga 24 jam.
Victor,sesuai cepat
Alviera,"Pengiriman cepat, kemasan safety, expired msh lama 11/26"
Betty,Pengiriman lama karena kena libur tahun baru
V***a,Bagussss
Widsfrn,"always jasi bedak kesayangan, bagus bgt udh"
Lidia,"barang nya bagus sesuai deskripsi, mantap👍"
S***a,"Dapat harga 127rb plus ada cashback 7850 koin gopay, keren sih ini, udah banding harga dari platform lain tapi ini termurah! produk asli, pengemasan aman, dan shade nya cocok banget di kulit wajah, gak salah milih dan memang nake over the best, paragon group memang sesuai standar perempuan Indonesia !!"
siswo,kualitas produk bagus
Nur,"barangnya sudah sampe rumah, barangnya mudah dipakai ringan dan super stay di wajah"
e***a,e***a
Ivy,"Sudah repeat order berulang kali, suka banget dengan bedak ini, beneran kontrol minyak di wajah, bisa pakai seharian dan jarang touch up. spongenya juga oke lah buat touch up. favourite aku dan rekomen buat yang suka bedak padat."
Dina,akhirnya kebeli juga yg shadenya match di kulit. beli di tokped harganya yg paling murah dibanding ecommerce lain. pengiriman dari Tegal tapi 1 hari aja ke Bogor.
AMI,sudah langganan cocok digunakan
T***a,Packagingnya aman banget. Produknya sesuai dan amazing banget liat packaging yang terbarunya makin cakeup. Top top top👍🏻👍🏻👍🏻
Nisa,Nisa
Iskandar,Good Quality
c***a,"terimaksh sdh sampai, cepat seukalii, hasilnya juga bagusss bgt, mengcover smuanya, cakeupp dah"
Rosi,Good 👍
ardhi,ok sesuai...
T***y,bedak padat bagus nyaman bgt bener2 menyatu sama kulit. jangan sampe salah pilih shade ya guys
septiana,"make over powerstay 24h matte powder foundation ini rasanya cocok banget buat jenis kulitku yg berminyak, bahannya ringan tidak membuat kulit berminyak, nampak bagus menyatu dikulitku makanya aku beli lagi packing aman by JNE lengkap dengan safety buble wrap nya thanks Wardah Toped n JNE"
M***e,"Beli dengan harga diskon, joss!"
W***p,"Pengirimannya lamak bgt. Paket gue yg lain udh nyampe padahal, lah ini mesen duluan tp nyampenya terakhir wkwkwk. Baru dicoba sekali sih bedaknya, gak coverage, mungkin hrs lebih tebel lg kali ya makenya. Tp liat di reviwe beaty vlogger keknya coverage bgt huhuu"
O***a,"terimksh sdh dikemas dgn sangat baik, barang aman, smga warna bedaknya cocok ke kulit saya. sering2 ada promo ya"
S***i,Sesuai pesanan
Vasa,"admin chat nya juara, sgt helpful bantu milihin warna yg cocok hehe, kemasan jg aman. Amin bagus ya"
Dewi,sampai dengan selamat bedaknya biasa pake w33 semoga n30 juga cocok shadenya 😂
Dewi,"Barang sudah di terima sesuai deskripsi,kwalitas sudah pasti bagus ,packingrapih dan aman, aga lama di Pengiriman overall good service 👍"
frans,melembabkan dan ringan dipakai.
Putri,Make Over Powerstay 24H Matte Powder Foundation merupakan bedak padat dengan kandungan foundation untuk mendapatkan hasil Airbrushed Smooth Cover hingga 24 jam.
F***h,"Produknya bagus, warnanya cocok di aku. Aku samain sama warna cushionnya, cuman lama pisan ya dikirimnya"
A***u,cocok banget pake inii.. pengirimannya jg cepet banget brg dikemas sangat rapi dan aman banget
D***a,semoga cocok utk kulit sawo matang warm cenderung cerah
w***i,"barang ori pengiriman cepat , packing aman , harganya dapat diskon,"
A***a,Dapet harga terbaik sih menurut ku.. sempet ragu sama ed nya krna dapet harga jauh di bawah ecomerce lain wlpun sesama official.. aaakkkk sukaa bgt mana packaging nya yg baru 😍😍
Diah,"pake bedak ini sudah kesekian kali. cocok untuk wajah saya. Nomor bedak sesuai. Apakah compact (kemasannya) baru? pengiriman oke, dikemas aman."
Sari,"produk sudah datang aman, tidak ada cacat/pecah, belum dipakai siy tapi semoga cocok ya dengan kulitku....😍"
Nami,perfect color guidelines and product. safe packaging
Anisah,Anisah
G***l,melembabkan
Ema,"salah pilih warna, kirain W30 cream beige warna sama kayak warna cushion nya yg wrna Cream beige jg,,, ternyata di bedak warna nya lebih putih, jadi kontras banget di kulit"
Indah,shade kesayangan 🥰 pengiriman aman.
Atsa,Gak pernah kecewa sama Makeover. Product makeup local terbaik ❤️
Trezna,cocok sama kulit ku dan tahan lama
David,makasih kak
U***a,"bahan berkualitas, cocok di kulit. free bonus oleh seller. mantap"
Narti,"barang uda sampai, paking rapi, pelayanan ramah. tq"
Marcello,OKE..SESUAI dan PACKING AMAN
Nastiti,Bingung mau pilih shade yang mana takut salah shade akhirnya konsultasi sama adminnya di saranin pake shade w22 warm ivory dan surprisingly match sih sama kulitku. untuk ketahanan minyaknya belum dicobain. dapat free gift juga thank you makeover 💕
Agnes,senang langganan produk makeover ❤️
Griya,"pengiriman cepat, rapi dan g pecah, toop selalu ini seller"
Sarah,Sarah
Y***n,"terimakasih pesanan sudah sampai... kwalitasnya bagus, recommended dech"
N***a,"Produknya bagus... packing bagus, pengiriman cepat"
Amalia,"Barang sesuai pesanan. Packing aman pakai kardus dan bubble wrap. Dikasih bonus liquid foundie Hydrastay. Pengiriman gercep, order tengah malem besok sorenya dikirim."
Florentina,"Saya cocok dg bedak Make Over N30 ini. Bedaknya terasa lembut dikulit wajah, warnanya natural dan make up jadi awet. Terima kasih dapat bonus powerstay vivid waterlite lip stain."
Melviyanti,Mantap banget. Coveragenya bagus and benar ngga berminyak banget wlpn sdh pakai drtd. Tp tetap perlu ditepuk2 pakai tisu jg sesekali terutama jidat biar ga ga mengkilap
S***a,Thanks sdh sampai dgn baik bedaknya
Karin,Karin
A***a,"kmrn packaging yg lama pake n20 di sy agak abu2, skrg pake w20 lets try"
J,"barang sesuai pesanan, packingnya aman dan rapi, baru pertama coba semoga bedaknya cocok di kulit"
intan,cocok d kulit aku yg berminyak. packegingnya jga sllu memuaskan dan aman. walaupun dtang paketnya agak telat karena tanggal kembar. make over gk pernah mengecewakan pokoknya. love 😍
d***a,Bagus
Putri,Make Over Powerstay 24H Matte Powder Foundation merupakan bedak padat dengan kandungan foundation untuk mendapatkan hasil Airbrushed Smooth Cover hingga 24 jam.
Putri,Make Over Powerstay 24H Matte Powder Foundation merupakan bedak padat dengan kandungan foundation untuk mendapatkan hasil Airbrushed Smooth Cover hingga 24 jam.
Ana,Always repeat
S***a,sesuai bagus aman rapi
NurLaelah,bagus
Indah,"pertama order kena batal otomatis karna lama di prosesnya, setelah dikirim kurirnya lama."
DianaOto,"respon cepat, packaging super aman.... bakalan beli lagi . tks"
Z***a,"Packaging box aman, desain baru lebih mevvah, produk oke dan sesuai diskripsi bertahan lama👍 cm harganya aja yg lumayan hihi"
Marina,sukaaaa
P***a,bagus
I***a,the best pokoknya...thank you seller
I***s,"minta direkomendasikan shade karena saya kurang paha. tapi malah jadi abu2 diwajah. nadi saya memang hijau dan ungu, tapi pakai shade neutral jadi terlihat abu2. saya googling dan menemukan ada undertone olive. yang nadinya seperti neutral undertone, tapi lebih cocok memakai warn undertone product. sayang ini bedaknya ga kepakai"
Putri,Make Over Powerstay 24H Matte Powder Foundation merupakan bedak padat dengan kandungan foundation untuk mendapatkan hasil Airbrushed Smooth Cover hingga 24 jam.
Wahyu,bagus barangnya
Alina,packing nya aman sangatt
Atiek,"barang sesuai pesanan,dikemas dengan aman & oke....👍"
Putri,Make Over Powerstay 24H Matte Powder Foundation merupakan bedak padat dengan kandungan foundation untuk mendapatkan hasil Airbrushed Smooth Cover hingga 24 jam.
Dhea,"kemasannya bagus banget, sukaaa!!"
Nedia,"Keren kemasan baru nya, dan packingnya aman banget 👍👍"
Ninta,sangat puas dan bagus
N***a,"cocok pake makeover, admin hrsnya kasi kabar kl brg ga redi jgn nunggu smpe cancel sndiri"
Putri,Make Over Powerstay 24H Matte Powder Foundation merupakan bedak padat dengan kandungan foundation untuk mendapatkan hasil Airbrushed Smooth Cover hingga 24 jam.
m***a,"INI OFFICIAL STORE TAPI KELAKUAN KAKI LIMA..BARANG DIKIRIM KONDISI PECAH..DIKOMPLAIN, MINTA VIDEO..UDAH JELAS PAKINGAN DIKASIH BUBLE MASA IYA PECAH DIPENGIRIMAN..JELAS2 PECAH SBLM DIKIRIM !!! SAYA BELI 2 BIJI, 1 AJA YG PECAH..KAN ANEH..KLO PECAH DIPENGIRIMAN PASTI KEDUANYA PECAH.. JANGAN NIPU KALAU JUALAN ONLINE !!! PDHL BRAND UDAH BAGUS KELAKUAN GAK JUJUR.. ITU BRG G LAKU DI OFFLINE KRN PECAH MAKANYA DI JUAL ONLINE YA.. COBA TEMEN2 YG MAU BELI LIAT FOTO YG SAYA KIRIM YA..BIAR PAHAM.. BUBLENYA TEBEL LO ITU DIDALAMNYA.. APAKAH KURIR YG MEMECAHKAN?? APAKAH PEMBELI YG PECAHIN?? KECEWA"
R***a,New formulanya bagus bangeeet mantap
Gita,Gita
Lisa,okee bgtt
